accel_x 	 accel_y 	 accel_z 	 gyro_x 	 gyro_y 	 gyro_z 	 compass_x 	 compass_y 	 compass_z 	 time 
-0.08544264 	 5.527435 	 8.77231 	 6.852783 	 7.349686 	 -5.413193 	 -2.656648e-05 	 8.210045e-05 	 4.802213e-05 	 2.05 

-0.4328994 	 5.420894 	 8.323549 	 7.713654 	 23.54219 	 2.556656 	 -2.483786e-05 	 8.210045e-05 	 4.868546e-05 	 2.1 

-0.6853367 	 5.566939 	 8.271476 	 9.242447 	 -3.838852 	 6.163666 	 -2.483786e-05 	 8.175591e-05 	 4.802213e-05 	 2.15 

-0.7553668 	 5.799625 	 8.737145 	 22.2959 	 -18.46198 	 9.638992 	 -2.552931e-05 	 8.244501e-05 	 4.66955e-05 	 2.2 

-0.7751188 	 5.820723 	 8.973871 	 34.99817 	 -34.14565 	 8.415909 	 -2.639363e-05 	 8.192818e-05 	 4.520302e-05 	 2.25 

-0.006584021 	 5.917539 	 9.053029 	 77.86974 	 -50.54597 	 6.829819 	 -2.449214e-05 	 8.416777e-05 	 4.503719e-05 	 2.3 

0.001047458 	 6.194965 	 8.116751 	 73.00206 	 -47.05408 	 0.9750671 	 -2.431927e-05 	 8.502914e-05 	 4.221806e-05 	 2.35 

0.09711431 	 6.451443 	 6.684427 	 63.55812 	 -43.87347 	 0.6410217 	 -2.414642e-05 	 8.520142e-05 	 3.973061e-05 	 2.4 

0.1683414 	 7.136181 	 6.474636 	 47.02928 	 -36.39859 	 2.054276 	 -2.172635e-05 	 8.795784e-05 	 3.6414e-05 	 2.45 

0.6393982 	 7.326519 	 5.798727 	 33.608 	 -31.61304 	 4.353958 	 -2.32821e-05 	 8.813011e-05 	 3.624817e-05 	 2.5 

0.7875387 	 7.773335 	 5.516961 	 17.04849 	 -37.93896 	 6.209717 	 -2.224493e-05 	 8.813011e-05 	 3.293156e-05 	 2.55 

1.040126 	 7.781565 	 5.218136 	 4.899796 	 -22.81134 	 6.796448 	 -2.189922e-05 	 8.881921e-05 	 3.293156e-05 	 2.6 

1.353016 	 7.846058 	 5.370915 	 -5.070633 	 -15.6442 	 3.372635 	 -2.120776e-05 	 8.778557e-05 	 3.492152e-05 	 2.65 

1.709601 	 7.778871 	 5.586691 	 -13.81139 	 -11.63754 	 2.74968 	 -1.930627e-05 	 9.002515e-05 	 3.475569e-05 	 2.7 

1.521657 	 7.814784 	 5.431518 	 -34.56502 	 -2.613129 	 9.25618 	 -2.034344e-05 	 8.864694e-05 	 3.342906e-05 	 2.75 

1.253358 	 7.724403 	 4.924548 	 -73.31355 	 43.19463 	 12.65277 	 -2.017059e-05 	 8.778557e-05 	 3.823814e-05 	 2.8 

1.795193 	 6.892273 	 5.382437 	 -51.45676 	 51.25607 	 26.11671 	 -2.017059e-05 	 8.640735e-05 	 3.989644e-05 	 2.85 

1.312914 	 6.145286 	 7.551573 	 -63.59915 	 99.12044 	 30.93581 	 -2.017059e-05 	 8.53737e-05 	 4.387637e-05 	 2.9 

1.307976 	 6.590156 	 8.29437 	 -30.97606 	 91.35347 	 -9.033554 	 -1.999773e-05 	 8.382321e-05 	 4.437386e-05 	 2.95 

2.31548 	 5.789599 	 8.921049 	 10.85886 	 90.46211 	 -27.0601 	 -2.24178e-05 	 8.313411e-05 	 4.536885e-05 	 3 

0.04384359 	 5.829702 	 8.802238 	 0.9759216 	 85.36351 	 -26.95607 	 -2.639363e-05 	 8.434004e-05 	 4.6198e-05 	 3.05 

-0.8213566 	 5.699817 	 8.582421 	 28.21049 	 80.70442 	 -54.66275 	 -2.708507e-05 	 8.434004e-05 	 4.420804e-05 	 3.1 

-1.560263 	 6.044131 	 7.682206 	 20.72043 	 128.3472 	 -89.83282 	 -3.278952e-05 	 8.313411e-05 	 3.973061e-05 	 3.15 

-2.574651 	 6.0775 	 5.60794 	 15.37863 	 69.14671 	 -62.45284 	 -3.469101e-05 	 8.365094e-05 	 3.956477e-05 	 3.2 

-4.789576 	 6.354179 	 7.982677 	 -25.36667 	 63.10269 	 -75.80605 	 -3.849397e-05 	 8.123907e-05 	 3.923312e-05 	 3.25 

-4.812171 	 5.832694 	 6.50606 	 -23.51422 	 15.31509 	 -55.39317 	 -4.091405e-05 	 8.089452e-05 	 3.923312e-05 	 3.3 

-5.074784 	 5.088999 	 6.979661 	 12.46251 	 75.79979 	 -70.50763 	 -4.333411e-05 	 7.813809e-05 	 4.055977e-05 	 3.35 

-5.086306 	 5.015827 	 7.097425 	 28.45702 	 64.98566 	 -64.18852 	 -4.592705e-05 	 7.899948e-05 	 3.707733e-05 	 3.4 

-5.549133 	 4.771021 	 5.779274 	 27.46741 	 50.79739 	 -71.66876 	 -4.696422e-05 	 7.762128e-05 	 3.342906e-05 	 3.45 

-6.373632 	 4.240259 	 4.999367 	 28.46333 	 56.79822 	 -72.179 	 -5.059431e-05 	 7.607079e-05 	 3.060994e-05 	 3.5 

-6.882546 	 4.115013 	 5.16277 	 30.34386 	 71.33519 	 -76.57188 	 -5.180435e-05 	 7.417575e-05 	 2.911746e-05 	 3.55 

-7.410316 	 3.579014 	 4.873822 	 31.65172 	 57.629 	 -71.22852 	 -5.145863e-05 	 7.107478e-05 	 2.745915e-05 	 3.6 

-8.123036 	 3.387329 	 4.481923 	 24.05542 	 30.89153 	 -64.86597 	 -5.422443e-05 	 7.004112e-05 	 2.381088e-05 	 3.65 

-8.304246 	 3.120676 	 4.002187 	 13.05498 	 -0.4158173 	 -49.05641 	 -5.405156e-05 	 7.124706e-05 	 2.298174e-05 	 3.7 

-8.767971 	 3.103618 	 3.754688 	 10.38631 	 -12.90324 	 -35.95409 	 -5.076718e-05 	 7.210843e-05 	 2.082594e-05 	 3.75 

-8.754803 	 2.623433 	 3.660267 	 7.912903 	 -27.07895 	 -28.67775 	 -5.059431e-05 	 7.262526e-05 	 1.966513e-05 	 3.8 

-9.109592 	 2.807935 	 4.525018 	 -2.110809 	 -90.8788 	 2.545685 	 -4.851997e-05 	 7.331436e-05 	 2.198676e-05 	 3.85 

-10.27272 	 3.125764 	 5.302381 	 22.72778 	 -165.7548 	 58.157 	 -4.800139e-05 	 7.624306e-05 	 2.480588e-05 	 3.9 

-8.568954 	 2.528863 	 5.880728 	 1.742783 	 -182.2057 	 63.0899 	 -4.938429e-05 	 7.796582e-05 	 2.978079e-05 	 3.95 

-7.994647 	 3.253105 	 5.735281 	 29.44405 	 -196.4378 	 115.2114 	 -4.644563e-05 	 7.882721e-05 	 3.525319e-05 	 4 

-6.029617 	 3.818583 	 6.773312 	 55.65509 	 -157.4699 	 101.6288 	 -4.333411e-05 	 8.158362e-05 	 4.02281e-05 	 4.05 

-4.816211 	 3.944128 	 6.354179 	 9.308395 	 -121.6049 	 103.0788 	 -3.74568e-05 	 8.434004e-05 	 4.288139e-05 	 4.1 

-2.742694 	 4.368348 	 6.558732 	 -17.07526 	 -134.8266 	 104.5493 	 -3.278952e-05 	 8.382321e-05 	 4.437386e-05 	 4.15 

-2.373091 	 5.149453 	 7.572372 	 -11.73956 	 -85.80713 	 108.6348 	 -2.708507e-05 	 8.53737e-05 	 4.752464e-05 	 4.2 

-0.7106254 	 4.978268 	 8.102985 	 -1.879562 	 -74.78807 	 105.7841 	 -2.172635e-05 	 8.485687e-05 	 4.835379e-05 	 4.25 

0.3244127 	 4.762342 	 9.037317 	 15.13519 	 -48.45602 	 102.4193 	 -1.636763e-05 	 8.571825e-05 	 4.785631e-05 	 4.3 

1.838289 	 4.731667 	 8.673251 	 39.37038 	 -13.9686 	 89.56479 	 -1.342897e-05 	 8.623508e-05 	 4.769048e-05 	 4.35 

2.384313 	 4.856464 	 8.564614 	 53.74086 	 10.17484 	 64.11581 	 -9.626007e-06 	 8.657964e-05 	 4.66955e-05 	 4.4 

2.891133 	 4.95268 	 8.591848 	 88.86989 	 43.05438 	 49.12183 	 -8.243103e-06 	 8.795784e-05 	 4.536885e-05 	 4.45 

2.84325 	 5.588038 	 8.254866 	 115.5051 	 72.37006 	 37.44524 	 -6.860214e-06 	 8.89915e-05 	 4.105725e-05 	 4.5 

2.46811 	 6.202746 	 7.918033 	 114.3052 	 57.90668 	 30.10786 	 -8.761688e-06 	 9.054198e-05 	 3.923312e-05 	 4.55 

2.60413 	 6.583123 	 7.232098 	 142.0244 	 63.65247 	 24.77464 	 -7.724518e-06 	 9.26093e-05 	 3.624817e-05 	 4.6 

2.530359 	 7.030537 	 6.620832 	 105.2134 	 25.1413 	 6.588669 	 -7.551651e-06 	 9.278157e-05 	 2.911746e-05 	 4.65 

2.516293 	 7.49905 	 5.648342 	 98.73405 	 7.75 	 -19.5768 	 -8.070236e-06 	 9.295384e-05 	 2.663e-05 	 4.7 

2.794767 	 7.776627 	 5.172796 	 97.83763 	 4.933762 	 -42.5896 	 -1.049031e-05 	 9.467661e-05 	 2.265007e-05 	 4.75 

2.076361 	 8.278658 	 4.156163 	 61.99649 	 -8.626694 	 -66.71985 	 -1.256465e-05 	 9.364294e-05 	 1.867015e-05 	 4.8 

2.35678 	 8.447299 	 2.564626 	 36.83461 	 -23.30084 	 -78.31631 	 -1.550331e-05 	 9.415977e-05 	 1.784099e-05 	 4.85 

1.754941 	 8.78054 	 2.394638 	 22.21838 	 -22.00194 	 -70.10283 	 -1.965201e-05 	 9.347067e-05 	 1.750934e-05 	 4.9 

-0.1985681 	 9.518848 	 2.818111 	 37.37096 	 -10.55711 	 -82.69337 	 -2.24178e-05 	 9.347067e-05 	 1.452438e-05 	 4.95 

-0.6995522 	 9.541144 	 2.612809 	 33.8804 	 -6.337265 	 -56.05974 	 -2.60479e-05 	 9.32984e-05 	 1.369524e-05 	 5 

-1.58211 	 9.792534 	 2.172128 	 23.56224 	 -9.275742 	 -52.23412 	 -2.794939e-05 	 9.347067e-05 	 1.286607e-05 	 5.05 

-1.361246 	 9.312948 	 2.158661 	 23.79984 	 -3.543442 	 -51.47295 	 -3.088805e-05 	 9.123108e-05 	 1.270026e-05 	 5.1 

-1.97775 	 9.462884 	 1.742671 	 16.32095 	 -19.82101 	 -88.72208 	 -3.157948e-05 	 9.019743e-05 	 1.037863e-05 	 5.15 

-1.911012 	 8.808373 	 1.73878 	 24.59123 	 -2.930054 	 -65.45152 	 -3.520959e-05 	 9.174791e-05 	 9.217804e-06 	 5.2 

-2.96655 	 9.071733 	 2.030273 	 20.07709 	 1.761185 	 -66.4677 	 -3.762967e-05 	 8.933604e-05 	 8.886154e-06 	 5.25 

-3.352913 	 9.144906 	 1.364089 	 22.0867 	 1.896515 	 -53.99176 	 -4.004973e-05 	 8.83024e-05 	 7.559509e-06 	 5.3 

-3.978694 	 9.036419 	 1.489784 	 17.44699 	 -6.008545 	 -61.5162 	 -4.143263e-05 	 8.589052e-05 	 5.901199e-06 	 5.35 

-4.032264 	 8.502515 	 1.296753 	 19.50497 	 4.142426 	 -47.51157 	 -4.298839e-05 	 8.640735e-05 	 6.730362e-06 	 5.4 

-4.605223 	 8.531694 	 1.040425 	 10.08031 	 -0.6128387 	 -34.987 	 -4.540846e-05 	 8.296184e-05 	 6.067032e-06 	 5.45 

-5.265571 	 8.612348 	 1.009899 	 8.252808 	 0.09284973 	 -19.73672 	 -4.627277e-05 	 8.451231e-05 	 6.896179e-06 	 5.5 

-5.569034 	 8.720835 	 0.8803135 	 -16.46198 	 -24.51709 	 7.217743 	 -4.52356e-05 	 8.416777e-05 	 7.227844e-06 	 5.55 

-5.703707 	 8.713503 	 0.9409165 	 -75.45972 	 -64.89429 	 35.93419 	 -4.437129e-05 	 8.399548e-05 	 7.725342e-06 	 5.6 

-5.042462 	 8.354374 	 1.203978 	 -109.0288 	 -110.1672 	 43.91177 	 -4.471701e-05 	 8.606281e-05 	 1.303191e-05 	 5.65 

-4.213474 	 8.155058 	 2.7813 	 -112.3945 	 -110.3098 	 55.24709 	 -4.471701e-05 	 8.813011e-05 	 1.966513e-05 	 5.7 

-3.909711 	 8.304845 	 3.875145 	 -98.9113 	 -94.07048 	 48.35176 	 -4.074118e-05 	 9.036971e-05 	 2.646417e-05 	 5.75 

-2.963109 	 7.830945 	 4.986049 	 -99.67012 	 -75.42107 	 50.9984 	 -3.918542e-05 	 9.019743e-05 	 3.027827e-05 	 5.8 

-2.414839 	 7.146506 	 5.917239 	 -112.9119 	 -90.15945 	 54.73006 	 -3.693822e-05 	 9.105881e-05 	 3.475569e-05 	 5.85 

-1.238544 	 6.919656 	 6.517133 	 -96.50082 	 -67.2205 	 49.20003 	 -3.296239e-05 	 8.813011e-05 	 3.989644e-05 	 5.9 

-0.710775 	 6.120895 	 7.376498 	 -101.1701 	 -55.66925 	 65.86549 	 -2.725793e-05 	 8.83024e-05 	 4.636383e-05 	 5.95 

0.3208214 	 5.781519 	 7.974596 	 -91.9501 	 -52.20656 	 44.0784 	 -2.449214e-05 	 8.451231e-05 	 5.100708e-05 	 6 

1.014239 	 4.666126 	 8.398667 	 -101.1131 	 -31.54172 	 35.36113 	 -2.24178e-05 	 8.244501e-05 	 4.934877e-05 	 6.05 

1.248869 	 4.030319 	 8.49638 	 -116.7299 	 -15.53473 	 44.82559 	 -2.155348e-05 	 8.020541e-05 	 5.647949e-05 	 6.1 

0.8321305 	 2.984507 	 9.572867 	 -161.6817 	 -17.45865 	 52.35669 	 -1.688622e-05 	 7.693216e-05 	 5.797195e-05 	 6.15 

1.281191 	 1.675184 	 8.194562 	 -163.9639 	 -32.81236 	 33.4481 	 -1.567618e-05 	 7.193616e-05 	 6.012776e-05 	 6.2 

2.028028 	 -0.2141303 	 9.642149 	 -123.8745 	 43.52077 	 26.97435 	 -1.446614e-05 	 6.694016e-05 	 6.095691e-05 	 6.25 

2.240512 	 -1.602461 	 10.19775 	 -74.59039 	 33.32095 	 -1.008896 	 -1.60219e-05 	 6.573422e-05 	 6.211772e-05 	 6.3 

1.965929 	 -2.12634 	 10.5913 	 -16.80017 	 52.88686 	 -11.42973 	 -1.913342e-05 	 6.814609e-05 	 6.045941e-05 	 6.35 

1.589742 	 -2.034163 	 10.27197 	 -25.74754 	 32.84833 	 -17.13873 	 -1.82691e-05 	 6.72847e-05 	 6.128857e-05 	 6.4 

0.9277484 	 -1.964582 	 10.65175 	 17.80444 	 33.13524 	 -8.647949 	 -1.82691e-05 	 6.935202e-05 	 6.26152e-05 	 6.45 

0.1693889 	 -1.087561 	 11.21693 	 97.08649 	 43.4111 	 1.796188 	 -1.82691e-05 	 7.073022e-05 	 6.195189e-05 	 6.5 

0.05431817 	 -0.4738999 	 11.16859 	 188.7354 	 9.893173 	 32.54469 	 -2.189922e-05 	 7.193616e-05 	 5.97961e-05 	 6.55 

-0.2786238 	 -0.3375807 	 10.7541 	 152.676 	 -59.48604 	 -1.46698 	 -2.207207e-05 	 7.555396e-05 	 5.863528e-05 	 6.6 

0.3534422 	 0.6569057 	 9.218228 	 207.7251 	 15.4045 	 8.202286 	 -2.207207e-05 	 7.796582e-05 	 5.76403e-05 	 6.65 

0.1363192 	 2.181256 	 9.06904 	 177.9485 	 5.43927 	 -26.52261 	 -2.362784e-05 	 8.468459e-05 	 5.050958e-05 	 6.7 

0.7665895 	 3.618219 	 8.269081 	 95.17987 	 -26.11029 	 -15.2084 	 -2.518359e-05 	 8.83024e-05 	 4.66955e-05 	 6.75 

0.6212922 	 5.317046 	 7.633275 	 103.6036 	 -14.98943 	 -24.92488 	 -2.466501e-05 	 8.778557e-05 	 4.420804e-05 	 6.8 

0.1725313 	 5.956743 	 7.957687 	 90.49496 	 -14.76988 	 -24.58691 	 -2.725793e-05 	 9.002515e-05 	 4.039394e-05 	 6.85 

0.4391841 	 6.308988 	 7.156382 	 83.81183 	 4.366241 	 -22.16411 	 -2.864084e-05 	 9.140337e-05 	 3.973061e-05 	 6.9 

0.1351221 	 6.990584 	 6.677095 	 62.86113 	 -2.143433 	 -16.68506 	 -2.794939e-05 	 9.174791e-05 	 3.608234e-05 	 6.95 

-0.08738792 	 7.422287 	 6.137205 	 58.77132 	 -1.795578 	 -16.78615 	 -3.019659e-05 	 9.226474e-05 	 3.425821e-05 	 7 

-0.1566698 	 8.042681 	 5.537461 	 54.57335 	 -9.34906 	 -23.05182 	 -3.088805e-05 	 9.19202e-05 	 3.193658e-05 	 7.05 

-0.2262509 	 8.381459 	 5.141671 	 40.24605 	 -3.88385 	 -10.14404 	 -3.088805e-05 	 9.226474e-05 	 2.895163e-05 	 7.1 

-0.5140025 	 8.726372 	 4.880555 	 19.79201 	 -24.27988 	 18.16652 	 -3.088805e-05 	 9.226474e-05 	 2.928329e-05 	 7.15 

-0.471805 	 8.767522 	 4.617045 	 5.995255 	 -29.16977 	 30.66368 	 -3.019659e-05 	 9.26093e-05 	 2.928329e-05 	 7.2 

0.3921982 	 8.340009 	 4.337373 	 -28.56284 	 -43.36301 	 42.60504 	 -2.82951e-05 	 9.278157e-05 	 3.044411e-05 	 7.25 

0.4617793 	 8.471241 	 4.545518 	 -55.29979 	 -72.89749 	 52.10674 	 -2.691222e-05 	 9.347067e-05 	 3.110742e-05 	 7.3 

1.130806 	 7.985071 	 4.982458 	 -68.80882 	 -78.29521 	 60.10902 	 -2.310925e-05 	 9.347067e-05 	 3.475569e-05 	 7.35 

2.108383 	 7.56504 	 5.364331 	 -67.09856 	 -87.48648 	 58.14073 	 -2.034344e-05 	 9.243701e-05 	 3.740898e-05 	 7.4 

2.715609 	 7.281179 	 5.595969 	 -64.7865 	 -86.52876 	 56.92334 	 -1.619476e-05 	 9.105881e-05 	 4.039394e-05 	 7.45 

3.723862 	 6.714504 	 5.845563 	 -56.2057 	 -84.61331 	 55.08182 	 -1.342897e-05 	 9.105881e-05 	 4.304723e-05 	 7.5 

4.19028 	 6.295521 	 6.029018 	 -56.72972 	 -64.32761 	 54.07324 	 -9.798859e-06 	 8.778557e-05 	 4.420804e-05 	 7.55 

5.565443 	 5.229359 	 5.858881 	 -51.7265 	 -34.1891 	 38.18349 	 -5.131592e-06 	 8.657964e-05 	 4.57005e-05 	 7.6 

5.902575 	 4.922902 	 5.543446 	 -53.28523 	 -42.42241 	 34.20976 	 -3.057236e-06 	 8.416777e-05 	 4.66955e-05 	 7.65 

5.999689 	 4.642782 	 6.836159 	 -59.89816 	 -6.160904 	 38.36084 	 -1.155762e-06 	 8.192818e-05 	 4.885129e-05 	 7.7 

6.132118 	 4.387502 	 5.182373 	 -52.52962 	 1.430939 	 39.47092 	 -1.847198e-06 	 7.986086e-05 	 4.984627e-05 	 7.75 

6.138402 	 3.64665 	 7.029191 	 -54.1562 	 42.16229 	 41.3904 	 7.457275e-07 	 7.831038e-05 	 5.266539e-05 	 7.8 

6.12718 	 2.97493 	 7.220127 	 -15.91771 	 50.92592 	 21.48877 	 -8.100281e-07 	 7.607079e-05 	 5.349454e-05 	 7.85 

6.319912 	 2.638696 	 6.706873 	 -19.24089 	 77.93686 	 25.69208 	 -6.371765e-07 	 7.486485e-05 	 5.498701e-05 	 7.9 

5.75204 	 2.313535 	 7.892146 	 -32.65425 	 58.9686 	 13.07509 	 -2.538651e-06 	 7.607079e-05 	 5.614783e-05 	 7.95 

5.665999 	 1.898892 	 7.415254 	 -15.99525 	 127.6466 	 -8.532715 	 -6.168762e-06 	 7.417575e-05 	 5.664531e-05 	 8 

4.579935 	 1.885125 	 8.417222 	 3.358765 	 135.4645 	 -27.47673 	 -1.118176e-05 	 7.262526e-05 	 5.747447e-05 	 8.05 

3.666851 	 1.894402 	 8.73939 	 17.84328 	 135.5336 	 -25.30132 	 -1.463901e-05 	 7.400348e-05 	 5.747447e-05 	 8.1 

2.493848 	 2.226746 	 10.12308 	 -6.140472 	 74.25835 	 -39.50597 	 -1.844197e-05 	 7.434802e-05 	 5.813779e-05 	 8.15 

1.620118 	 2.293035 	 9.841765 	 11.17966 	 51.9511 	 -27.00462 	 -2.24178e-05 	 7.452029e-05 	 5.730864e-05 	 8.2 

0.6453837 	 2.428157 	 10.08163 	 3.906433 	 36.16428 	 -24.80373 	 -2.380069e-05 	 7.452029e-05 	 5.830362e-05 	 8.25 

0.5945072 	 2.310692 	 9.901919 	 7.75589 	 26.11142 	 -19.91188 	 -2.397356e-05 	 7.434802e-05 	 5.780612e-05 	 8.3 

0.3272558 	 2.446113 	 9.536356 	 16.20891 	 19.99268 	 -14.29866 	 -2.501073e-05 	 7.331436e-05 	 5.647949e-05 	 8.35 

