loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
2015-05-21 13:11:03.153,1,1432177862.251787,-33.88897052969214,151.1932511163421,14.74847,0,306.9140625,12,5,-9999,1432177863.142832,22.83566284179688,-9.634788513183594,47.61150360107422,259.4366149902344,246.8860321044922,10,8199.151067541667,-0.009246826171875,-0.04815673828125,-1.037643432617188,8199.126835541667,-0.1402631019761843,-0.03791036443338697,0.0957670064831404
2015-05-21 13:11:03.206,2,1432177862.251787,-33.88897052969214,151.1932511163421,14.74847,0,306.9140625,12,5,-9999,1432177863.182797,23.31948852539062,-9.979270935058594,47.47881698608398,259.3698425292969,246.8192443847656,10,8199.209290541667,0.023406982421875,-0.0337066650390625,-1.0325927734375,8199.193058541667,-0.1072689329150836,-0.2098459086216656,-0.06234779691206306
2015-05-21 13:11:03.264,3,1432177862.251787,-33.88897052969214,151.1932511163421,14.74847,0,306.9140625,12,5,-9999,1432177863.260855,23.8724365234375,-10.80604553222656,45.9528923034668,258.3544311523438,245.8038330078125,10,8199.267521541668,-0.00341796875,-0.0511322021484375,-1.00323486328125,8199.259311541668,-0.1598629023347315,-0.1562596453798543,0.0373268658385506
2015-05-21 13:11:03.323,4,1432177863.269566,-33.88897052969214,151.1932511163421,14.82062,0,306.9140625,12,5,-9999,1432177863.300175,23.94158935546875,-10.94384002685547,46.21826934814453,258.2311096191406,245.6805114746094,10,8199.325748541667,0.00286865234375,-0.0503692626953125,-1.002685546875,8199.325535541668,-0.04404282547551243,-0.1680750258720998,-0.124288929125671
2015-05-21 13:11:03.381,5,1432177863.269566,-33.88897052969214,151.1932511163421,14.82062,0,306.9140625,12,5,-9999,1432177863.377472,23.66506958007812,-11.15054321289062,46.21826934814453,257.5171813964844,244.9665832519531,10,8199.383977541667,0.0045318603515625,-0.0304107666015625,-1.001571655273438,8199.358646541667,-0.000524376418636602,-0.1539717236873672,-0.1823202745429336
2015-05-21 13:11:03.445,6,1432177863.269566,-33.88897052969214,151.1932511163421,14.82062,0,306.9140625,12,5,-9999,1432177863.417176,24.32171630859375,-10.77159881591797,46.38413238525391,258.4511413574219,245.9005584716797,10,8199.442203541666,-0.00103759765625,-0.0296173095703125,-0.9745941162109375,8199.424900541668,0.09156001090914223,-0.1741084173216743,-0.1059970071784618
2015-05-21 13:11:03.498,7,1432177863.269566,-33.88897052969214,151.1932511163421,14.82062,0,306.9140625,12,5,-9999,1432177863.495426,24.63275146484375,-10.73715209960938,45.75385665893555,258.9040832519531,246.3534851074219,10,8199.500423541667,-0.00775146484375,-0.0413665771484375,-0.9994354248046875,8199.491123541668,-0.1180302342478758,-0.04559065470106648,0.01592197489314773
2015-05-21 13:11:03.556,8,1432177863.269566,-33.88897052969214,151.1932511163421,14.82062,0,306.9140625,12,5,-9999,1432177863.534967,24.42538452148438,-11.08163452148438,45.75385665893555,258.8162231445312,246.265625,10,8199.558654541666,-0.0187835693359375,-0.0447998046875,-1.014572143554688,8199.557372541667,-0.1118908489869161,-0.07736136755738476,-0.06618008572068708
2015-05-21 13:11:03.614,9,1432177863.269566,-33.88897052969214,151.1932511163421,14.82062,0,306.9140625,12,5,-9999,1432177863.574644,24.97833251953125,-11.35722351074219,45.88654327392578,258.7438659667969,246.1932830810547,10,8199.616886541668,-0.034698486328125,-0.074249267578125,-0.973297119140625,8199.590488541668,-0.1015236954954557,-0.04179778067657563,0.05128715627274597
2015-05-21 13:11:03.684,10,1432177863.269566,-33.88897052969214,151.1932511163421,14.82062,0,306.9140625,12,5,-9999,1432177863.653895,25.18572998046875,-11.77059936523438,45.55482482910156,258.6327819824219,246.0821990966797,10,8199.675114541667,-0.0524749755859375,-0.1059112548828125,-0.952301025390625,8199.656711541667,-0.1132107116231594,-0.1948456537817943,0.03693112010056483
2015-05-21 13:11:03.730,11,1432177863.269566,-33.88897052969214,151.1932511163421,14.82062,0,306.9140625,12,5,-9999,1432177863.692584,24.97833251953125,-11.97728729248047,45.48848342895508,258.488525390625,245.9379272460938,10,8199.733342541667,-0.0617828369140625,-0.1176910400390625,-0.9807891845703125,8199.722965541667,-0.04459223560839577,-0.1115108158993618,0.08759562931045027
2015-05-21 13:11:03.788,12,1432177863.269566,-33.88897052969214,151.1932511163421,14.82062,0,306.9140625,12,5,-9999,1432177863.771256,26.08425903320312,-13.0107421875,45.28944778442383,255.6265411376953,243.0759582519531,10,8199.791568541666,-0.048004150390625,-0.1063690185546875,-0.978973388671875,8199.789188541667,-0.1143105971533621,-0.08047913024554053,0.02451546309861542
2015-05-21 13:11:03.847,13,1432177863.269566,-33.88897052969214,151.1932511163421,14.82062,0,306.9140625,12,5,-9999,1432177863.81048,25.7041015625,-13.1829833984375,45.78702926635742,254.8455047607422,242.294921875,10,8199.849796541666,-0.0172576904296875,-0.094390869140625,-0.9546051025390625,8199.822310541667,-0.07097563989559277,-0.05634556444724247,0.03875938018890422
